"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.523957,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261.017607,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.043441,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",268.959543,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.91146,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.314351,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.218855,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.094577,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",322.712767,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.803345,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.643183,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",340.979763,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",348.959967,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",348.319901,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",361.697603,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",364.240343,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",369.503257,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",379.711936,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",382.997727,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",389.258214,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",391.815827,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",389.852443,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",390.455808,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",383.54313,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",373.869885,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2015",380.447074,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2016",390.423287,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2017",392.820131,
