"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.941,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.629,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.571,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1993",24.405,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1994",24.198,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1995",24.397,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1996",24.464,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1997",24.853,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1998",25.374,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1999",25.416,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2000",25.726,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2001",25.803,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2002",25.699,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2003",25.411,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2004",26.008,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2005",26.011,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2006",25.879,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2007",25.726,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2008",25.346,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2009",24.962,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2010",24.369,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2011",24.112,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2012",23.837,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2013",23.014,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2014",22.436,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2015",22.461,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2016",22.487,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2017",22.392,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2018",22.115,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2019",21.533,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2020",20.536,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1990",10.214,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1991",10.586,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1992",9.625,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1993",9.589,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1994",9.581,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1995",9.975,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1996",10.363,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1997",10.308,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1998",10.211,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1999",10,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2000",9.996,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2001",10.443,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2002",10.609,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2003",11.235,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2004",11.121,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2005",11.189,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2006",10.838,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2007",10.469,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2008",10.366,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2009",9.541,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2010",10.065,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2011",9.776,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2012",9.412,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2013",9.41,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2014",8.923,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2015",9.095,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2016",9.093,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2017",9.3,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2018",8.889,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2019",8.982,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2020",8.253,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1990",14.616,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1991",14.834,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1992",14.734,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1993",14.564,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1994",14.974,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1995",15.152,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1996",15.488,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1997",14.619,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1998",15.095,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1999",14.451,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2000",14.523,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2001",14.322,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2002",14.266,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2003",14.235,
