,LOCATION,TIME,CO2,CO,GHG,NOx,SOx,PM25,Gross_increase,Use_intensity
0,AUT,2011,66.60999,66.81,9.776,23.185,1.797,16.2518,,
1,AUT,2012,63.439008,66.439,9.412,22.43,1.744,14.62976,,
2,AUT,2013,64.09668,66.378,9.41,22.191,1.683,14.62208,28892.0,0.815
3,AUT,2014,60.415457,61.663,8.923,21.114,1.688,12.9131,,
4,AUT,2015,61.55372,62.262,9.095,20.549,1.625,13.45269,,
5,AUT,2016,61.968092,60.924,9.093,19.429,1.51,12.39107,,
6,AUT,2017,64.157672,59.489,9.3,18.293,1.446,12.02271,,
7,AUT,2018,61.304388,54.579,8.889,16.953,1.301,12.3846,,
8,AUT,2019,62.726774,55.822,8.982,16.029,1.244,12.22494,,
9,DNK,2011,42.051581,54.959,10.74,24.815,2.522,13.61736,,
10,DNK,2012,37.154228,51.612,9.879,22.81,2.255,10.86565,6711.0,0.593
11,DNK,2013,38.876074,49.027,10.148,21.818,2.264,10.48783,6920.0,0.606
12,DNK,2014,34.690311,44.558,9.352,20.05,1.884,11.0559,7708.0,0.564
13,DNK,2015,32.544845,45.022,8.827,19.64,1.696,10.18456,7331.0,0.523
14,DNK,2016,33.962618,43.052,9.112,19.467,1.749,9.30205,6797.0,0.58
15,DNK,2017,31.760249,41.056,8.686,18.918,1.782,10.28813,6345.671,0.673
16,DNK,2018,31.758519,38.052,8.629,17.805,1.825,9.87276,6495.0,0.659
17,DNK,2019,28.352746,35.313,7.936,16.472,1.594,9.78493,5936.0,0.647
18,FRA,2011,326.966868,52.801,7.509,16.896,3.417,14.78044,91929.0,0.561
19,FRA,2012,330.813375,48.114,7.496,16.467,3.362,13.52899,92219.0,0.567
20,FRA,2013,331.127813,48.637,7.474,16.049,3.079,13.44807,92385.0,0.556
21,FRA,2014,298.99726,40.432,6.959,14.803,2.402,11.50913,91808.496,0.552
22,FRA,2015,304.521188,39.711,6.984,14.446,2.29,12.23154,91495.853,0.563
23,FRA,2016,307.168433,40.039,6.993,13.654,2.05,11.43916,91558.769,0.566
24,FRA,2017,311.212725,39.157,7.023,13.138,1.967,11.38728,90779.164,0.58
25,FRA,2018,300.23205,37.241,6.721,12.251,1.833,11.49229,,
26,FRA,2019,293.739197,36.548,6.568,11.67,1.492,11.36678,,
27,DEU,2011,731.241595,42.719,11.352,17.682,4.817,15.74135,116799.165,0.8
28,DEU,2012,745.141593,39.479,11.401,17.542,4.58,13.95161,116571.115,0.805
29,DEU,2013,763.651811,38.856,11.581,17.484,4.423,13.71588,116598.982,0.748
30,DEU,2014,723.111731,36.609,11.045,16.855,4.14,12.37438,113740.802,0.764
31,DEU,2015,729.684402,37.566,10.993,16.434,4.086,12.85765,113742.838,0.778
32,DEU,2016,734.487154,35.779,10.947,15.966,3.756,11.89868,113754.132,0.75
33,DEU,2017,718.794174,35.827,10.716,15.29,3.639,12.00724,113727.0,0.744
34,DEU,2018,694.540151,34.404,10.259,14.227,3.492,12.04758,110389.0,0.879
