"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO","KG_CAP","A","1990",335.689,
"AUS","AIREMISSION","CO","KG_CAP","A","1991",332.512,
"AUS","AIREMISSION","CO","KG_CAP","A","1992",337.351,
"AUS","AIREMISSION","CO","KG_CAP","A","1993",347.074,
"AUS","AIREMISSION","CO","KG_CAP","A","1994",351.739,
"AUS","AIREMISSION","CO","KG_CAP","A","1995",339.229,
"AUS","AIREMISSION","CO","KG_CAP","A","1996",344.682,
"AUS","AIREMISSION","CO","KG_CAP","A","1997",341.823,
"AUS","AIREMISSION","CO","KG_CAP","A","1998",319.281,
"AUS","AIREMISSION","CO","KG_CAP","A","1999",308.508,
"AUS","AIREMISSION","CO","KG_CAP","A","2000",283.089,
"AUS","AIREMISSION","CO","KG_CAP","A","2001",265.741,
"AUS","AIREMISSION","CO","KG_CAP","A","2002",255.767,
"AUS","AIREMISSION","CO","KG_CAP","A","2003",228.151,
"AUS","AIREMISSION","CO","KG_CAP","A","2004",230.436,
"AUS","AIREMISSION","CO","KG_CAP","A","2005",196.912,
"AUS","AIREMISSION","CO","KG_CAP","A","2006",192.835,
"AUS","AIREMISSION","CO","KG_CAP","A","2007",162.343,
"AUS","AIREMISSION","CO","KG_CAP","A","2008",151.822,
"AUS","AIREMISSION","CO","KG_CAP","A","2009",145.526,
"AUS","AIREMISSION","CO","KG_CAP","A","2010",135.855,
"AUS","AIREMISSION","CO","KG_CAP","A","2011",131.644,
"AUS","AIREMISSION","CO","KG_CAP","A","2012",127.843,
"AUS","AIREMISSION","CO","KG_CAP","A","2013",122.89,
"AUS","AIREMISSION","CO","KG_CAP","A","2014",118.102,
"AUS","AIREMISSION","CO","KG_CAP","A","2015",114.259,
"AUS","AIREMISSION","CO","KG_CAP","A","2016",109.873,
"AUS","AIREMISSION","CO","KG_CAP","A","2017",113.857,
"AUS","AIREMISSION","CO","KG_CAP","A","2018",102.81,
"AUS","AIREMISSION","CO","KG_CAP","A","2019",94.563,
"AUS","AIREMISSION","CO","KG_CAP","A","2020",89.772,
"AUT","AIREMISSION","CO","KG_CAP","A","1990",163.254,
"AUT","AIREMISSION","CO","KG_CAP","A","1991",162.535,
"AUT","AIREMISSION","CO","KG_CAP","A","1992",153.499,
"AUT","AIREMISSION","CO","KG_CAP","A","1993",144.366,
"AUT","AIREMISSION","CO","KG_CAP","A","1994",135.476,
"AUT","AIREMISSION","CO","KG_CAP","A","1995",122.145,
"AUT","AIREMISSION","CO","KG_CAP","A","1996",121.255,
"AUT","AIREMISSION","CO","KG_CAP","A","1997",111.783,
"AUT","AIREMISSION","CO","KG_CAP","A","1998",105.94,
"AUT","AIREMISSION","CO","KG_CAP","A","1999",91.149,
"AUT","AIREMISSION","CO","KG_CAP","A","2000",90.334,
"AUT","AIREMISSION","CO","KG_CAP","A","2001",86.601,
"AUT","AIREMISSION","CO","KG_CAP","A","2002",82.246,
"AUT","AIREMISSION","CO","KG_CAP","A","2003",82.163,
"AUT","AIREMISSION","CO","KG_CAP","A","2004",79.486,
"AUT","AIREMISSION","CO","KG_CAP","A","2005",75.958,
"AUT","AIREMISSION","CO","KG_CAP","A","2006",75.537,
"AUT","AIREMISSION","CO","KG_CAP","A","2007",72.512,
"AUT","AIREMISSION","CO","KG_CAP","A","2008",70.007,
"AUT","AIREMISSION","CO","KG_CAP","A","2009",67.395,
"AUT","AIREMISSION","CO","KG_CAP","A","2010",69.085,
"AUT","AIREMISSION","CO","KG_CAP","A","2011",66.81,
"AUT","AIREMISSION","CO","KG_CAP","A","2012",66.439,
"AUT","AIREMISSION","CO","KG_CAP","A","2013",66.378,
"AUT","AIREMISSION","CO","KG_CAP","A","2014",61.663,
"AUT","AIREMISSION","CO","KG_CAP","A","2015",62.262,
"AUT","AIREMISSION","CO","KG_CAP","A","2016",60.924,
"AUT","AIREMISSION","CO","KG_CAP","A","2017",59.489,
"AUT","AIREMISSION","CO","KG_CAP","A","2018",54.579,
"AUT","AIREMISSION","CO","KG_CAP","A","2019",55.822,
"AUT","AIREMISSION","CO","KG_CAP","A","2020",53.157,
"BEL","AIREMISSION","CO","KG_CAP","A","1990",151.282,
"BEL","AIREMISSION","CO","KG_CAP","A","1991",144.865,
"BEL","AIREMISSION","CO","KG_CAP","A","1992",144.61,
"BEL","AIREMISSION","CO","KG_CAP","A","1993",136.284,
"BEL","AIREMISSION","CO","KG_CAP","A","1994",129.662,
"BEL","AIREMISSION","CO","KG_CAP","A","1995",126.054,
"BEL","AIREMISSION","CO","KG_CAP","A","1996",121.107,
"BEL","AIREMISSION","CO","KG_CAP","A","1997",108.684,
"BEL","AIREMISSION","CO","KG_CAP","A","1998",102.864,
"BEL","AIREMISSION","CO","KG_CAP","A","1999",96.001,
"BEL","AIREMISSION","CO","KG_CAP","A","2000",96.891,
"BEL","AIREMISSION","CO","KG_CAP","A","2001",89.434,
"BEL","AIREMISSION","CO","KG_CAP","A","2002",92.658,
"BEL","AIREMISSION","CO","KG_CAP","A","2003",87.758,
"BEL","AIREMISSION","CO","KG_CAP","A","2004",82.268,
"BEL","AIREMISSION","CO","KG_CAP","A","2005",76.064,
"BEL","AIREMISSION","CO","KG_CAP","A","2006",69.926,
"BEL","AIREMISSION","CO","KG_CAP","A","2007",57.483,
"BEL","AIREMISSION","CO","KG_CAP","A","2008",57.484,
"BEL","AIREMISSION","CO","KG_CAP","A","2009",39.064,
"BEL","AIREMISSION","CO","KG_CAP","A","2010",45.288,
"BEL","AIREMISSION","CO","KG_CAP","A","2011",35.942,
"BEL","AIREMISSION","CO","KG_CAP","A","2012",30.631,
"BEL","AIREMISSION","CO","KG_CAP","A","2013",45.879,
"BEL","AIREMISSION","CO","KG_CAP","A","2014",28.336,
"BEL","AIREMISSION","CO","KG_CAP","A","2015",32.476,
"BEL","AIREMISSION","CO","KG_CAP","A","2016",30.831,
"BEL","AIREMISSION","CO","KG_CAP","A","2017",24.758,
"BEL","AIREMISSION","CO","KG_CAP","A","2018",28.544,
"BEL","AIREMISSION","CO","KG_CAP","A","2019",31.199,
"BEL","AIREMISSION","CO","KG_CAP","A","2020",23.014,
"CAN","AIREMISSION","CO","KG_CAP","A","1990",418.541,
"CAN","AIREMISSION","CO","KG_CAP","A","1991",406.072,
"CAN","AIREMISSION","CO","KG_CAP","A","1992",399.175,
"CAN","AIREMISSION","CO","KG_CAP","A","1993",404.277,
"CAN","AIREMISSION","CO","KG_CAP","A","1994",398.844,
"CAN","AIREMISSION","CO","KG_CAP","A","1995",390.129,
"CAN","AIREMISSION","CO","KG_CAP","A","1996",374.314,
"CAN","AIREMISSION","CO","KG_CAP","A","1997",359.995,
"CAN","AIREMISSION","CO","KG_CAP","A","1998",347.885,
"CAN","AIREMISSION","CO","KG_CAP","A","1999",338.693,
"CAN","AIREMISSION","CO","KG_CAP","A","2000",328.427,
"CAN","AIREMISSION","CO","KG_CAP","A","2001",298.29,
"CAN","AIREMISSION","CO","KG_CAP","A","2002",284.731,
"CAN","AIREMISSION","CO","KG_CAP","A","2003",277.46,
"CAN","AIREMISSION","CO","KG_CAP","A","2004",259.473,
"CAN","AIREMISSION","CO","KG_CAP","A","2005",230.095,
"CAN","AIREMISSION","CO","KG_CAP","A","2006",212.6,
"CAN","AIREMISSION","CO","KG_CAP","A","2007",208.354,
"CAN","AIREMISSION","CO","KG_CAP","A","2008",199.671,
"CAN","AIREMISSION","CO","KG_CAP","A","2009",187.587,
"CAN","AIREMISSION","CO","KG_CAP","A","2010",178.89,
"CAN","AIREMISSION","CO","KG_CAP","A","2011",165.62,
"CAN","AIREMISSION","CO","KG_CAP","A","2012",156.107,
"CAN","AIREMISSION","CO","KG_CAP","A","2013",153.228,
"CAN","AIREMISSION","CO","KG_CAP","A","2014",149.164,
"CAN","AIREMISSION","CO","KG_CAP","A","2015",145.297,
"CAN","AIREMISSION","CO","KG_CAP","A","2016",141.123,
"CAN","AIREMISSION","CO","KG_CAP","A","2017",141.049,
"CAN","AIREMISSION","CO","KG_CAP","A","2018",138.725,
"CAN","AIREMISSION","CO","KG_CAP","A","2019",135.466,
"CAN","AIREMISSION","CO","KG_CAP","A","2020",123.125,
"CZE","AIREMISSION","CO","KG_CAP","A","1990",197.127,
"CZE","AIREMISSION","CO","KG_CAP","A","1991",188.309,
"CZE","AIREMISSION","CO","KG_CAP","A","1992",184.497,
"CZE","AIREMISSION","CO","KG_CAP","A","1993",163.95,
"CZE","AIREMISSION","CO","KG_CAP","A","1994",156.989,
"CZE","AIREMISSION","CO","KG_CAP","A","1995",149.698,
"CZE","AIREMISSION","CO","KG_CAP","A","1996",155.2,
"CZE","AIREMISSION","CO","KG_CAP","A","1997",143.511,
"CZE","AIREMISSION","CO","KG_CAP","A","1998",123.452,
"CZE","AIREMISSION","CO","KG_CAP","A","1999",111.152,
"CZE","AIREMISSION","CO","KG_CAP","A","2000",107.292,
"CZE","AIREMISSION","CO","KG_CAP","A","2001",104.397,
"CZE","AIREMISSION","CO","KG_CAP","A","2002",100.14,
"CZE","AIREMISSION","CO","KG_CAP","A","2003",101.886,
"CZE","AIREMISSION","CO","KG_CAP","A","2004",100.35,
"CZE","AIREMISSION","CO","KG_CAP","A","2005",92.008,
"CZE","AIREMISSION","CO","KG_CAP","A","2006",90.603,
"CZE","AIREMISSION","CO","KG_CAP","A","2007",89.836,
"CZE","AIREMISSION","CO","KG_CAP","A","2008",83.503,
"CZE","AIREMISSION","CO","KG_CAP","A","2009",84.669,
"CZE","AIREMISSION","CO","KG_CAP","A","2010",87.95,
"CZE","AIREMISSION","CO","KG_CAP","A","2011",84.611,
"CZE","AIREMISSION","CO","KG_CAP","A","2012",83.431,
"CZE","AIREMISSION","CO","KG_CAP","A","2013",84.544,
"CZE","AIREMISSION","CO","KG_CAP","A","2014",81.453,
"CZE","AIREMISSION","CO","KG_CAP","A","2015",80.765,
"CZE","AIREMISSION","CO","KG_CAP","A","2016",80.506,
"CZE","AIREMISSION","CO","KG_CAP","A","2017",80.344,
"CZE","AIREMISSION","CO","KG_CAP","A","2018",80.832,
"CZE","AIREMISSION","CO","KG_CAP","A","2019",77.502,
"CZE","AIREMISSION","CO","KG_CAP","A","2020",74.368,
"DNK","AIREMISSION","CO","KG_CAP","A","1990",139.591,
"DNK","AIREMISSION","CO","KG_CAP","A","1991",145.411,
"DNK","AIREMISSION","CO","KG_CAP","A","1992",141.525,
"DNK","AIREMISSION","CO","KG_CAP","A","1993",138.621,
"DNK","AIREMISSION","CO","KG_CAP","A","1994",130.4,
"DNK","AIREMISSION","CO","KG_CAP","A","1995",123.113,
"DNK","AIREMISSION","CO","KG_CAP","A","1996",119.024,
"DNK","AIREMISSION","CO","KG_CAP","A","1997",109.257,
"DNK","AIREMISSION","CO","KG_CAP","A","1998",102.154,
"DNK","AIREMISSION","CO","KG_CAP","A","1999",92.63,
"DNK","AIREMISSION","CO","KG_CAP","A","2000",88.653,
"DNK","AIREMISSION","CO","KG_CAP","A","2001",86.612,
"DNK","AIREMISSION","CO","KG_CAP","A","2002",81.649,
"DNK","AIREMISSION","CO","KG_CAP","A","2003",81.96,
"DNK","AIREMISSION","CO","KG_CAP","A","2004",78.514,
"DNK","AIREMISSION","CO","KG_CAP","A","2005",78.332,
"DNK","AIREMISSION","CO","KG_CAP","A","2006",75.517,
"DNK","AIREMISSION","CO","KG_CAP","A","2007",75.953,
"DNK","AIREMISSION","CO","KG_CAP","A","2008",71.53,
"DNK","AIREMISSION","CO","KG_CAP","A","2009",64.79,
"DNK","AIREMISSION","CO","KG_CAP","A","2010",62.874,
"DNK","AIREMISSION","CO","KG_CAP","A","2011",54.959,
"DNK","AIREMISSION","CO","KG_CAP","A","2012",51.612,
"DNK","AIREMISSION","CO","KG_CAP","A","2013",49.027,
"DNK","AIREMISSION","CO","KG_CAP","A","2014",44.558,
"DNK","AIREMISSION","CO","KG_CAP","A","2015",45.022,
"DNK","AIREMISSION","CO","KG_CAP","A","2016",43.052,
"DNK","AIREMISSION","CO","KG_CAP","A","2017",41.056,
"DNK","AIREMISSION","CO","KG_CAP","A","2018",38.052,
"DNK","AIREMISSION","CO","KG_CAP","A","2019",35.313,
"DNK","AIREMISSION","CO","KG_CAP","A","2020",32.902,
"FIN","AIREMISSION","CO","KG_CAP","A","1990",145.494,
"FIN","AIREMISSION","CO","KG_CAP","A","1991",140.081,
"FIN","AIREMISSION","CO","KG_CAP","A","1992",136.558,
"FIN","AIREMISSION","CO","KG_CAP","A","1993",132.228,
"FIN","AIREMISSION","CO","KG_CAP","A","1994",127.926,
"FIN","AIREMISSION","CO","KG_CAP","A","1995",125.713,
"FIN","AIREMISSION","CO","KG_CAP","A","1996",124.668,
"FIN","AIREMISSION","CO","KG_CAP","A","1997",122.907,
"FIN","AIREMISSION","CO","KG_CAP","A","1998",120.507,
"FIN","AIREMISSION","CO","KG_CAP","A","1999",116.646,
"FIN","AIREMISSION","CO","KG_CAP","A","2000",110.268,
"FIN","AIREMISSION","CO","KG_CAP","A","2001",111.044,
"FIN","AIREMISSION","CO","KG_CAP","A","2002",107.644,
"FIN","AIREMISSION","CO","KG_CAP","A","2003",103.994,
"FIN","AIREMISSION","CO","KG_CAP","A","2004",100.453,
"FIN","AIREMISSION","CO","KG_CAP","A","2005",96.067,
"FIN","AIREMISSION","CO","KG_CAP","A","2006",91.656,
"FIN","AIREMISSION","CO","KG_CAP","A","2007",88.931,
"FIN","AIREMISSION","CO","KG_CAP","A","2008",82.635,
"FIN","AIREMISSION","CO","KG_CAP","A","2009",78.569,
"FIN","AIREMISSION","CO","KG_CAP","A","2010",80.963,
"FIN","AIREMISSION","CO","KG_CAP","A","2011",72.978,
"FIN","AIREMISSION","CO","KG_CAP","A","2012",72.358,
"FIN","AIREMISSION","CO","KG_CAP","A","2013",69.339,
"FIN","AIREMISSION","CO","KG_CAP","A","2014",68.219,
"FIN","AIREMISSION","CO","KG_CAP","A","2015",64.982,
"FIN","AIREMISSION","CO","KG_CAP","A","2016",66.29,
"FIN","AIREMISSION","CO","KG_CAP","A","2017",64.413,
"FIN","AIREMISSION","CO","KG_CAP","A","2018",62.975,
"FIN","AIREMISSION","CO","KG_CAP","A","2019",61.45,
"FIN","AIREMISSION","CO","KG_CAP","A","2020",56.732,
"FRA","AIREMISSION","CO","KG_CAP","A","1990",193.067,
"FRA","AIREMISSION","CO","KG_CAP","A","1991",193.662,
"FRA","AIREMISSION","CO","KG_CAP","A","1992",179.911,
"FRA","AIREMISSION","CO","KG_CAP","A","1993",170.262,
"FRA","AIREMISSION","CO","KG_CAP","A","1994",158.403,
"FRA","AIREMISSION","CO","KG_CAP","A","1995",154.705,
"FRA","AIREMISSION","CO","KG_CAP","A","1996",145.163,
"FRA","AIREMISSION","CO","KG_CAP","A","1997",134.362,
"FRA","AIREMISSION","CO","KG_CAP","A","1998",129.388,
"FRA","AIREMISSION","CO","KG_CAP","A","1999",120.665,
"FRA","AIREMISSION","CO","KG_CAP","A","2000",108.815,
"FRA","AIREMISSION","CO","KG_CAP","A","2001",101.513,
"FRA","AIREMISSION","CO","KG_CAP","A","2002",97.327,
"FRA","AIREMISSION","CO","KG_CAP","A","2003",91.717,
"FRA","AIREMISSION","CO","KG_CAP","A","2004",92.033,
"FRA","AIREMISSION","CO","KG_CAP","A","2005",83.296,
