"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","NOX","KG_CAP","A","1990",94.957,
"AUS","AIREMISSION","NOX","KG_CAP","A","1991",92.321,
"AUS","AIREMISSION","NOX","KG_CAP","A","1992",93.915,
"AUS","AIREMISSION","NOX","KG_CAP","A","1993",95.514,
"AUS","AIREMISSION","NOX","KG_CAP","A","1994",94.722,
"AUS","AIREMISSION","NOX","KG_CAP","A","1995",94.033,
"AUS","AIREMISSION","NOX","KG_CAP","A","1996",95.728,
"AUS","AIREMISSION","NOX","KG_CAP","A","1997",97.595,
"AUS","AIREMISSION","NOX","KG_CAP","A","1998",98.618,
"AUS","AIREMISSION","NOX","KG_CAP","A","1999",99.237,
"AUS","AIREMISSION","NOX","KG_CAP","A","2000",98.553,
"AUS","AIREMISSION","NOX","KG_CAP","A","2001",101.665,
"AUS","AIREMISSION","NOX","KG_CAP","A","2002",104.612,
"AUS","AIREMISSION","NOX","KG_CAP","A","2003",107.554,
"AUS","AIREMISSION","NOX","KG_CAP","A","2004",109.088,
"AUS","AIREMISSION","NOX","KG_CAP","A","2005",108.752,
"AUS","AIREMISSION","NOX","KG_CAP","A","2006",107.805,
"AUS","AIREMISSION","NOX","KG_CAP","A","2007",106.291,
"AUS","AIREMISSION","NOX","KG_CAP","A","2008",106.659,
"AUS","AIREMISSION","NOX","KG_CAP","A","2009",103.744,
"AUS","AIREMISSION","NOX","KG_CAP","A","2010",106.23,
"AUS","AIREMISSION","NOX","KG_CAP","A","2011",102.561,
"AUS","AIREMISSION","NOX","KG_CAP","A","2012",107.268,
"AUS","AIREMISSION","NOX","KG_CAP","A","2013",108.393,
"AUS","AIREMISSION","NOX","KG_CAP","A","2014",107.624,
"AUS","AIREMISSION","NOX","KG_CAP","A","2015",106.816,
"AUS","AIREMISSION","NOX","KG_CAP","A","2016",107.871,
"AUS","AIREMISSION","NOX","KG_CAP","A","2017",109.207,
"AUS","AIREMISSION","NOX","KG_CAP","A","2018",110.89,
"AUS","AIREMISSION","NOX","KG_CAP","A","2019",107.602,
"AUS","AIREMISSION","NOX","KG_CAP","A","2020",115.87,
"AUT","AIREMISSION","NOX","KG_CAP","A","1990",28.383,
"AUT","AIREMISSION","NOX","KG_CAP","A","1991",29.332,
"AUT","AIREMISSION","NOX","KG_CAP","A","1992",27.536,
"AUT","AIREMISSION","NOX","KG_CAP","A","1993",26.213,
"AUT","AIREMISSION","NOX","KG_CAP","A","1994",25.055,
"AUT","AIREMISSION","NOX","KG_CAP","A","1995",24.898,
"AUT","AIREMISSION","NOX","KG_CAP","A","1996",27.088,
"AUT","AIREMISSION","NOX","KG_CAP","A","1997",25.328,
"AUT","AIREMISSION","NOX","KG_CAP","A","1998",26.763,
"AUT","AIREMISSION","NOX","KG_CAP","A","1999",25.679,
"AUT","AIREMISSION","NOX","KG_CAP","A","2000",26.306,
"AUT","AIREMISSION","NOX","KG_CAP","A","2001",27.527,
"AUT","AIREMISSION","NOX","KG_CAP","A","2002",28.313,
"AUT","AIREMISSION","NOX","KG_CAP","A","2003",29.571,
