"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","SOX","KG_CAP","A","1990",92.89,
"AUS","AIREMISSION","SOX","KG_CAP","A","1991",90.833,
"AUS","AIREMISSION","SOX","KG_CAP","A","1992",94.517,
"AUS","AIREMISSION","SOX","KG_CAP","A","1993",98.799,
"AUS","AIREMISSION","SOX","KG_CAP","A","1994",99.087,
"AUS","AIREMISSION","SOX","KG_CAP","A","1995",92.941,
"AUS","AIREMISSION","SOX","KG_CAP","A","1996",96.649,
"AUS","AIREMISSION","SOX","KG_CAP","A","1997",98.653,
"AUS","AIREMISSION","SOX","KG_CAP","A","1998",93.662,
"AUS","AIREMISSION","SOX","KG_CAP","A","1999",97.369,
"AUS","AIREMISSION","SOX","KG_CAP","A","2000",123.102,
"AUS","AIREMISSION","SOX","KG_CAP","A","2001",134.084,
"AUS","AIREMISSION","SOX","KG_CAP","A","2002",142.335,
"AUS","AIREMISSION","SOX","KG_CAP","A","2003",140.692,
"AUS","AIREMISSION","SOX","KG_CAP","A","2004",126.039,
"AUS","AIREMISSION","SOX","KG_CAP","A","2005",124.902,
"AUS","AIREMISSION","SOX","KG_CAP","A","2006",121.393,
"AUS","AIREMISSION","SOX","KG_CAP","A","2007",117.38,
"AUS","AIREMISSION","SOX","KG_CAP","A","2008",118.233,
"AUS","AIREMISSION","SOX","KG_CAP","A","2009",119.766,
"AUS","AIREMISSION","SOX","KG_CAP","A","2010",107.94,
"AUS","AIREMISSION","SOX","KG_CAP","A","2011",112.22,
"AUS","AIREMISSION","SOX","KG_CAP","A","2012",110.766,
"AUS","AIREMISSION","SOX","KG_CAP","A","2013",104.383,
"AUS","AIREMISSION","SOX","KG_CAP","A","2014",106.481,
"AUS","AIREMISSION","SOX","KG_CAP","A","2015",100.136,
"AUS","AIREMISSION","SOX","KG_CAP","A","2016",101.925,
"AUS","AIREMISSION","SOX","KG_CAP","A","2017",92.99,
"AUS","AIREMISSION","SOX","KG_CAP","A","2018",83.38,
"AUS","AIREMISSION","SOX","KG_CAP","A","2019",84.849,
"AUS","AIREMISSION","SOX","KG_CAP","A","2020",80.956,
"AUT","AIREMISSION","SOX","KG_CAP","A","1990",9.591,
"AUT","AIREMISSION","SOX","KG_CAP","A","1991",9.112,
"AUT","AIREMISSION","SOX","KG_CAP","A","1992",6.904,
"AUT","AIREMISSION","SOX","KG_CAP","A","1993",6.672,
"AUT","AIREMISSION","SOX","KG_CAP","A","1994",5.936,
"AUT","AIREMISSION","SOX","KG_CAP","A","1995",5.878,
"AUT","AIREMISSION","SOX","KG_CAP","A","1996",5.512,
"AUT","AIREMISSION","SOX","KG_CAP","A","1997",5.062,
"AUT","AIREMISSION","SOX","KG_CAP","A","1998",4.458,
"AUT","AIREMISSION","SOX","KG_CAP","A","1999",4.213,
"AUT","AIREMISSION","SOX","KG_CAP","A","2000",3.932,
"AUT","AIREMISSION","SOX","KG_CAP","A","2001",4.027,
"AUT","AIREMISSION","SOX","KG_CAP","A","2002",3.874,
"AUT","AIREMISSION","SOX","KG_CAP","A","2003",3.83,
"AUT","AIREMISSION","SOX","KG_CAP","A","2004",3.244,
"AUT","AIREMISSION","SOX","KG_CAP","A","2005",3.142,
"AUT","AIREMISSION","SOX","KG_CAP","A","2006",3.22,
